name,age,email,joindate,department,salary,performancescore,active
Alice,unknown,unknown,,Finance,74064.0,unknown,Y
Alice,unknown,noemail,,HR,73484.0,2,unknown
unknown,unknown,unknown,,it,73484.0,2,No
Bob,unknown,noemail,2022-12-12,it,73484.0,unknown,unknown
unknown,unknown,unknown,2021-01-01,unknown,49830.0,unknown,unknown
Charlie,unknown,test@site.org,,finance,73484.0,bad,yes
Alice,unknown,test@site.org,2022-12-12,it,73484.0,2,yes
unknown,27,unknown,2021-01-01,IT,73484.0,unknown,Yes
Bob,unknown,unknown,2020-01-05,HR,73484.0,4,no
unknown,30,test@site.org,,Finance,33436.0,1,No
Alice,36,unknown,2021-01-01,IT,73484.0,5,yes
David,27,unknown,,unknown,73484.0,unknown,unknown
Charlie,54,noemail,2021-01-01,IT,73484.0,1,unknown
David,unknown,unknown,2020-01-05,unknown,73484.0,1,Yes
unknown,unknown,unknown,,unknown,60746.0,unknown,Yes
unknown,unknown,user@example.com,,it,79377.0,unknown,no
Charlie,unknown,noemail,2020-01-05,HR,73484.0,unknown,yes
Bob,unknown,noemail,2021-01-01,unknown,73484.0,2,No
Charlie,unknown,test@site.org,,Finance,73484.0,unknown,No
Charlie,unknown,unknown,2020-01-05,IT,35600.0,unknown,unknown
Bob,27,unknown,2021-01-01,unknown,73484.0,2,unknown
unknown,unknown,unknown,,unknown,104543.0,2,Yes
Charlie,unknown,noemail,,unknown,75714.0,bad,unknown
unknown,52,unknown,2021-01-01,finance,73484.0,3,N
unknown,unknown,unknown,,unknown,73484.0,2,no
unknown,unknown,unknown,2020-01-05,unknown,73484.0,3,unknown
Alice,unknown,test@site.org,,Finance,48589.0,5,Y
Eve,unknown,unknown,2022-12-12,it,73484.0,bad,Yes
unknown,unknown,unknown,,HR,73484.0,unknown,unknown
Bob,unknown,test@site.org,2022-12-12,finance,66212.0,5,No
Eve,unknown,user@example.com,,Finance,73484.0,unknown,no
unknown,unknown,noemail,2020-01-05,unknown,73484.0,unknown,No
Bob,unknown,unknown,,Finance,73484.0,2,Y
Bob,unknown,unknown,,IT,73484.0,2,Yes
David,56,noemail,,unknown,73484.0,4,N
David,33,user@example.com,,Finance,73484.0,unknown,unknown
Charlie,unknown,test@site.org,,HR,73484.0,unknown,unknown
unknown,20,noemail,,HR,73484.0,4,Y
unknown,24,test@site.org,2020-01-05,Finance,73484.0,unknown,no
Eve,unknown,test@site.org,2020-01-05,unknown,73484.0,bad,no
Bob,unknown,test@site.org,2022-12-12,IT,84240.0,unknown,yes
unknown,58,user@example.com,2021-01-01,finance,73484.0,unknown,unknown
Charlie,46,user@example.com,2020-01-05,unknown,73484.0,unknown,unknown
unknown,unknown,test@site.org,,unknown,73484.0,2,no
unknown,34,unknown,2022-12-12,finance,73484.0,bad,Yes
unknown,34,unknown,,IT,73484.0,unknown,no
Alice,unknown,user@example.com,,it,73484.0,bad,No
Bob,unknown,unknown,,HR,73484.0,5,no
unknown,51,unknown,,it,73484.0,bad,No
Alice,unknown,unknown,2020-01-05,unknown,73484.0,3,unknown
unknown,51,test@site.org,2021-01-01,IT,96105.0,unknown,yes
Charlie,23,unknown,,unknown,73484.0,2,yes
David,unknown,unknown,2020-01-05,it,73484.0,2,Y
Charlie,unknown,unknown,2022-12-12,IT,73484.0,2,no
Alice,unknown,test@site.org,,finance,34014.0,2,No
Bob,unknown,test@site.org,2022-12-12,finance,73484.0,unknown,Y
Eve,unknown,user@example.com,2020-01-05,it,73484.0,2,no
unknown,unknown,user@example.com,2020-01-05,it,73484.0,bad,yes
Charlie,unknown,unknown,2020-01-05,HR,73484.0,3,unknown
Bob,unknown,test@site.org,2020-01-05,finance,73484.0,1,Y
unknown,unknown,test@site.org,,HR,73484.0,bad,No
David,unknown,unknown,2020-01-05,it,73484.0,2,yes
David,unknown,unknown,,unknown,73484.0,unknown,unknown
unknown,unknown,user@example.com,2021-01-01,IT,73484.0,bad,no
David,21,unknown,,finance,73484.0,unknown,Y
Bob,25,test@site.org,2022-12-12,IT,84748.0,1,No
Charlie,unknown,user@example.com,2021-01-01,HR,73484.0,5,unknown
Bob,47,unknown,2022-12-12,HR,73484.0,5,no
Bob,39,test@site.org,,Finance,73484.0,bad,Yes
Eve,unknown,unknown,,unknown,73484.0,4,yes
Eve,unknown,unknown,2022-12-12,unknown,40647.0,3,Y
Charlie,unknown,unknown,,finance,73484.0,unknown,N
unknown,58,noemail,,finance,73484.0,4,no
Eve,unknown,unknown,,HR,117545.0,2,unknown
David,unknown,unknown,2021-01-01,unknown,119912.0,bad,N
Eve,unknown,unknown,2021-01-01,unknown,73484.0,bad,N
Charlie,unknown,unknown,2022-12-12,IT,73484.0,5,Y
Bob,unknown,unknown,,finance,73484.0,4,No
Bob,25,test@site.org,2022-12-12,HR,73484.0,unknown,yes
Eve,unknown,unknown,2020-01-05,unknown,73484.0,1,No
David,46,unknown,,unknown,73484.0,5,Yes
Alice,unknown,noemail,2020-01-05,Finance,73484.0,1,no
unknown,unknown,test@site.org,,it,43403.0,3,Y
Alice,52,noemail,,finance,62097.0,5,unknown
unknown,43,unknown,,unknown,73484.0,5,Y
Alice,unknown,unknown,2020-01-05,it,73484.0,bad,Y
Bob,unknown,test@site.org,,IT,82921.0,bad,Y
unknown,unknown,noemail,,Finance,73484.0,1,Y
Bob,unknown,unknown,2020-01-05,finance,73484.0,3,unknown
unknown,unknown,user@example.com,2020-01-05,it,52677.0,3,Yes
unknown,unknown,noemail,,unknown,73484.0,unknown,unknown
David,unknown,test@site.org,2020-01-05,unknown,73484.0,2,no
Eve,unknown,noemail,2020-01-05,it,73484.0,3,N
Alice,unknown,noemail,2020-01-05,HR,73484.0,1,unknown
David,36,noemail,2022-12-12,it,73484.0,2,yes
David,21,unknown,2021-01-01,IT,73484.0,4,unknown
Eve,unknown,user@example.com,2022-12-12,it,73484.0,unknown,N
David,unknown,test@site.org,2020-01-05,IT,73484.0,unknown,N
Eve,42,test@site.org,2021-01-01,IT,73484.0,unknown,yes
Charlie,56,test@site.org,,unknown,73484.0,bad,unknown
Eve,unknown,unknown,2022-12-12,HR,73484.0,3,N
unknown,unknown,test@site.org,2022-12-12,unknown,73484.0,bad,no
Alice,unknown,test@site.org,2022-12-12,Finance,73484.0,5,unknown
unknown,unknown,user@example.com,,IT,84021.0,bad,unknown
unknown,unknown,unknown,2020-01-05,it,73484.0,2,yes
Alice,unknown,unknown,,unknown,88335.0,1,unknown
unknown,51,noemail,,it,73484.0,3,unknown
Eve,25,unknown,,IT,73484.0,3,Y
unknown,51,unknown,2020-01-05,unknown,73484.0,1,N
Charlie,unknown,unknown,2021-01-01,it,73484.0,2,Y
unknown,30,user@example.com,2022-12-12,unknown,69734.0,5,yes
unknown,unknown,test@site.org,2020-01-05,unknown,73484.0,unknown,Yes
Charlie,unknown,unknown,2022-12-12,finance,103523.0,unknown,unknown
Alice,unknown,unknown,2020-01-05,HR,73484.0,unknown,no
Charlie,unknown,unknown,2022-12-12,it,113613.0,unknown,No
David,53,user@example.com,2020-01-05,HR,73484.0,unknown,No
Bob,unknown,unknown,2021-01-01,IT,73484.0,5,yes
David,unknown,unknown,,IT,73484.0,4,No
Alice,30,unknown,2022-12-12,IT,73484.0,2,Y
unknown,unknown,user@example.com,2020-01-05,HR,73484.0,bad,yes
unknown,unknown,noemail,2021-01-01,unknown,55945.0,unknown,unknown
Charlie,unknown,noemail,2021-01-01,it,73484.0,2,Y
