Name,Age,Email,JoinDate,Department,Salary,PerformanceScore,Active
Charlie,43,user@example.com,2021-01-01,Finance,52399,3,
Eve,unknown,noemail,,Finance,,5,
Bob,unknown,,2021-01-01,finance,116416,1,no
,unknown,noemail,01-05-20,HR,,3,no
Alice,,,,Finance,74064,,Y
Alice,unknown,noemail,,HR,N/A,2,
,,,,it,,2,No
Bob,unknown,noemail,12/12/2022,it,N/A,,
,,,2021-01-01,,49830,,
Charlie,,test@site.org,,finance,,bad,yes
Alice,unknown,test@site.org,12/12/2022,it,,2,yes
,27,,2021-01-01,IT,,,Yes
Bob,,,01-05-20,HR,,4,no
,30,test@site.org,,Finance,33436,1,No
Alice,36,,2021-01-01,IT,,5,yes
David,27,,,,,,
Charlie,54,noemail,2021-01-01,IT,,1,
David,unknown,,01-05-20,,,1,Yes
,unknown,,,,60746,,Yes
,,user@example.com,,it,79377,,no
Charlie,,noemail,01-05-20,HR,N/A,,yes
Bob,,noemail,2021-01-01,,,2,No
Charlie,unknown,test@site.org,,Finance,N/A,,No
Charlie,,,01-05-20,IT,35600,,
Bob,27,,2021-01-01,,,2,
,unknown,,,,104543,2,Yes
Charlie,,noemail,,,75714,bad,
,52,,2021-01-01,finance,,3,N
,,,,,N/A,2,no
,,,01-05-20,,,3,
Alice,,test@site.org,,Finance,48589,5,Y
Eve,,,12/12/2022,it,73484,bad,Yes
,,,,HR,,,
Bob,,test@site.org,12/12/2022,finance,66212,5,No
Eve,unknown,user@example.com,,Finance,,,no
,unknown,noemail,01-05-20,,,,No
Bob,,,,Finance,,2,Y
Bob,unknown,,,IT,,2,Yes
David,56,noemail,,,N/A,4,N
David,33,user@example.com,,Finance,N/A,,
Charlie,,test@site.org,,HR,,,
,20,noemail,,HR,N/A,4,Y
,24,test@site.org,01-05-20,Finance,N/A,,no
Eve,,test@site.org,01-05-20,,N/A,bad,no
Bob,unknown,test@site.org,12/12/2022,IT,84240,,yes
,58,user@example.com,2021-01-01,finance,,,
Charlie,46,user@example.com,01-05-20,,N/A,,
,unknown,test@site.org,,,,2,no
,34,,12/12/2022,finance,N/A,bad,Yes
,34,,,IT,N/A,,no
Alice,unknown,user@example.com,,it,,bad,No
Bob,,,,HR,,5,no
,51,,,it,,bad,No
Alice,unknown,,01-05-20,,,3,
,51,test@site.org,2021-01-01,IT,96105,,yes
Charlie,23,,,,,2,yes
David,,,01-05-20,it,,2,Y
Charlie,,,12/12/2022,IT,N/A,2,no
Alice,,test@site.org,,finance,34014,2,No
Bob,unknown,test@site.org,12/12/2022,finance,,,Y
Eve,,user@example.com,01-05-20,it,,2,no
,unknown,user@example.com,01-05-20,it,,bad,yes
Charlie,,,01-05-20,HR,,3,
Bob,,test@site.org,01-05-20,finance,,1,Y
,unknown,test@site.org,,HR,,bad,No
David,,,01-05-20,it,,2,yes
David,,,,,N/A,,
,,user@example.com,2021-01-01,IT,,bad,no
David,21,,,finance,,,Y
Bob,25,test@site.org,12/12/2022,IT,84748,1,No
Charlie,,user@example.com,2021-01-01,HR,N/A,5,
Bob,47,,12/12/2022,HR,,5,no
Bob,39,test@site.org,,Finance,,bad,Yes
,unknown,,,,,2,no
Eve,,,,,,4,yes
Eve,unknown,,12/12/2022,,40647,3,Y
Charlie,,,,finance,,,N
,58,noemail,,finance,,4,no
Eve,unknown,,,HR,117545,2,
David,,,2021-01-01,,119912,bad,N
Eve,,,2021-01-01,,,bad,N
David,unknown,,01-05-20,,,2,Y
Charlie,,,12/12/2022,IT,N/A,5,Y
Bob,,,,finance,,4,No
Bob,25,test@site.org,12/12/2022,HR,N/A,,yes
Eve,,,01-05-20,,N/A,1,No
David,46,,,,,5,Yes
Alice,unknown,noemail,01-05-20,Finance,N/A,1,no
,,test@site.org,,it,43403,3,Y
Alice,52,noemail,,finance,62097,5,
,43,,,,,5,Y
Alice,unknown,,01-05-20,it,,bad,Y
Bob,,test@site.org,,IT,82921,bad,Y
,,noemail,,Finance,,1,Y
Bob,unknown,,01-05-20,finance,N/A,3,
,,user@example.com,01-05-20,it,52677,3,Yes
,unknown,noemail,,,,,
David,,test@site.org,01-05-20,,,2,no
Eve,,noemail,01-05-20,it,,3,N
Alice,,noemail,01-05-20,HR,N/A,1,
David,36,noemail,12/12/2022,it,N/A,2,yes
David,21,,2021-01-01,IT,N/A,4,
Eve,,user@example.com,12/12/2022,it,,,N
David,,test@site.org,01-05-20,IT,,,N
Eve,42,test@site.org,2021-01-01,IT,N/A,,yes
Charlie,56,test@site.org,,,,bad,
Eve,,,12/12/2022,HR,,3,N
,unknown,test@site.org,12/12/2022,,,bad,no
Alice,,test@site.org,12/12/2022,Finance,,5,
,unknown,user@example.com,,IT,84021,bad,
,,,01-05-20,it,,2,yes
Alice,,,,,88335,1,
,51,noemail,,it,N/A,3,
Eve,25,,,IT,N/A,3,Y
,51,,01-05-20,,,1,N
Charlie,unknown,,2021-01-01,it,,2,Y
,30,user@example.com,12/12/2022,,69734,5,yes
,,test@site.org,01-05-20,,,,Yes
Charlie,unknown,,12/12/2022,finance,103523,,
Alice,,,01-05-20,HR,,,no
Charlie,unknown,,12/12/2022,it,113613,,No
David,53,user@example.com,01-05-20,HR,,,No
Bob,,,2021-01-01,IT,,5,yes
David,,,,IT,,4,No
Alice,30,,12/12/2022,IT,,2,Y
,,user@example.com,01-05-20,HR,,bad,yes
,unknown,noemail,2021-01-01,,55945,,
Charlie,unknown,noemail,2021-01-01,it,N/A,2,Y
